id,title,company,difficulty,stages,topics,platform,last_seen_max,seen_count,employment_types
palantir-basic-item-discounts,Basic Item Discounts,Palantir,easy,OA,array|hash_table|math|simulation,unknown,2026-09-15,1,NEW GRAD
palantir-optimize-discount-selection,Optimize Discount Selection Under a Point Budget,Palantir,hard,OA,array|hash_table|bit_manipulation|dynamic_programming|combinatorics,unknown,2026-09-15,1,NEW GRAD
palantir-stacked-item-category-discounts,Stacked Item and Category Discounts,Palantir,medium,OA,array|hash_table|math|simulation,unknown,2026-09-15,1,NEW GRAD
ibm-get-maximum-amount,Get Maximum Amount,IBM,medium,OA,heap|greedy,hackerrank,2026-09-14,8,FULLTIME|INTERN|NEW GRAD
stripe-request-routing-system,Request Routing System,Stripe,medium,OA,simulation|sorting|geometry,unknown,2026-09-14,8,FULLTIME
akuna-vowel-substring-game,Vowel Substring Game,Akuna Capital,medium,OA,string|math,unknown,2026-09-14,5,INTERN|NEW GRAD
two-sigma-linear-interpolator,Linear Interpolator,Two Sigma,medium,OA,array|sorting|math|binary_search,unknown,2026-09-14,5,NEW GRAD|INTERN|FULLTIME
two-sigma-online-no-intercept-linear-regression,Online No-Intercept Linear Regression,Two Sigma,easy,OA,array|math|prefix_sum|simulation,unknown,2026-09-14,5,NEW GRAD|INTERN|FULLTIME
stripe-financial-account-ledger,Financial Account Ledger,Stripe,medium,OA|PHONE SCREEN,hash_table|heap|simulation|parsing,hackerrank,2026-09-14,4,NEW GRAD|INTERN
two-sigma-daily-temperature-by-town,Daily Temperature By Town,Two Sigma,hard,OA,math|greedy|matrix,unknown,2026-09-14,4,FULLTIME|NEW GRAD|INTERN
akuna-count-server-replacements,Count Server Replacements,Akuna Capital,easy,OA,hash_table|simulation,unknown,2026-09-14,3,INTERN|NEW GRAD
akuna-maximum-remaining-drone-power,Maximum Remaining Drone Power,Akuna Capital,easy,OA,dynamic_programming|matrix,unknown,2026-09-14,2,INTERN|NEW GRAD
ibm-get-minimum-increment,Get Minimum Increment,IBM,hard,OA,array|dynamic_programming|greedy,hackerrank,2026-09-14,2,FULLTIME
counting-triples,Counting Triples,Susquehanna International Group (SIG),hard,OA,hash_table|math,unknown,2026-09-14,2,INTERN|NEW GRAD
american-express-maximum-points-fixed-perimeter-rectangle,Maximum Points in a Perimeter-Bounded Rectangle,American Express,hard,OA,array|sorting|two_pointers|geometry,unknown,2026-09-14,1,INTERN
american-express-minimum-moves-spread-stones-grid,Minimum Moves to Spread Stones Across a Grid,American Express,medium,OA,matrix|dynamic_programming|bit_manipulation,unknown,2026-09-14,1,INTERN
susquehanna-rotate-matrix-over-diagonals,Rotate Matrix Regions Around the Diagonals,Susquehanna International Group (SIG),medium,OA,matrix|simulation,codesignal,2026-09-14,1,NEW GRAD
amazon-merge-intervals,Merge Intervals,Amazon,easy,OA|PHONE SCREEN|ONSITE INTERVIEW,intervals|sorting,hackerrank,2026-09-13,11,INTERN|NEW GRAD|FULLTIME
amazon-calculate-beauty-values,Calculate Beauty Values,Amazon,medium,OA,array|sorting|prefix_sum,hackerrank,2026-09-13,9,NEW GRAD|FULLTIME|INTERN
google-split-and-sort,Split and Sort Array,Google,medium,OA,array|sorting,codesignal,2026-09-13,9,NEW GRAD|INTERN
citadel-maximize-workday-earnings,Maximize Workday Earnings,Citadel,medium,OA|PHONE SCREEN|ONSITE INTERVIEW,array|string|greedy|sorting,unknown,2026-09-13,5,INTERN|FULLTIME|NEW GRAD
amazon-task-scheduler,Task Scheduler,Amazon,medium,OA|PHONE SCREEN,greedy|heap,hackerrank,2026-09-13,3,FULLTIME
amazon-binary-tree-cameras,Binary Tree Cameras,Amazon,hard,OA|PHONE SCREEN,tree|depth_first_search|dynamic_programming|greedy,unknown,2026-09-13,2,FULLTIME
google-minimum-number-of-moves-to-obtain,Minimum Number Of Moves to Obtain,Google,easy,OA,array|greedy,codesignal,2026-09-13,2,FULLTIME|NEW GRAD|INTERN
headlands-minimum-changes-no-equal-adjacent-characters,Minimum Changes for Distinct Adjacent Characters,Headlands Technologies,easy,OA,string|greedy,unknown,2026-09-13,1,FULLTIME
headlands-sliding-window-means-ieee-floats,Sliding-Window Means with IEEE Special Values,Headlands Technologies,medium,OA,array|sliding_window|math,unknown,2026-09-13,1,FULLTIME
juspay-minimum-of-window-maxima,Minimum of Fixed-Window Maxima,Juspay,medium,OA,array|sliding_window|queue,unknown,2026-09-13,1,NEW GRAD
juspay-dynamic-weighted-tree-distance-sum,Sum Dynamic Weighted Tree Distances,Juspay,hard,OA,tree|graph|depth_first_search|shortest_path,unknown,2026-09-13,1,NEW GRAD
lenskart-first-duplicate-transaction-within-ten-minutes,First Duplicate Transaction Within Ten Minutes,Lenskart,easy,OA,database,unknown,2026-09-13,1,FULLTIME
lenskart-most-recent-active-user-per-department,Most Recent Active User Per Department,Lenskart,easy,OA,database,unknown,2026-09-13,1,FULLTIME
lenskart-test-execution-success-rate,Test Execution Success Rate,Lenskart,easy,OA,database,unknown,2026-09-13,1,FULLTIME
optiver-power-cell-bank,Power Cell Bank,Optiver,hard,OA,hash_table|sorting|design|simulation,unknown,2026-09-12,8,INTERN|NEW GRAD
akuna-get-max-cost,Binary Circuit,Akuna Capital,hard,OA,string|greedy|math,hackerrank,2026-09-12,6,FULLTIME|INTERN
amazon-get-min-amount,Get Minimum Amount,Amazon,,OA,,unknown,2026-09-12,6,NEW GRAD
akuna-items-sort,Items Sort,Akuna Capital,easy,OA,array|hash_table|sorting,hackerrank,2026-09-12,5,INTERN|NEW GRAD
akuna-minimize-malware-spread,Minimize Malware Spread by Removing a Node,Akuna Capital,medium,OA,graph|breadth_first_search|simulation,unknown,2026-09-12,3,INTERN
hrt-catch-fish-with-reusable-baits,Catch Fish with Reusable Baits,Hudson River Trading,easy,OA,array|sorting|two_pointers|greedy|simulation,codesignal,2026-09-12,1,INTERN
hrt-count-one-swap-number-pairs,Count One-Swap Number Pairs,Hudson River Trading,medium,OA,array|string|hash_table|combinatorics,codesignal,2026-09-12,1,INTERN
hrt-lowest-number-in-open-range,Lowest Number in an Open Range,Hudson River Trading,easy,OA,array,codesignal,2026-09-12,1,INTERN
hrt-maximum-rhombic-area-sum,Maximum Rhombic Area Sum,Hudson River Trading,medium,OA,matrix|geometry|prefix_sum,codesignal,2026-09-12,1,INTERN
morgan-stanley-maximum-concurrent-processes,Maximum Concurrent Processes,Morgan Stanley,medium,OA,intervals|sorting|two_pointers,hackerrank,2026-09-12,1,INTERN
squadstack-dominant-seller,Find the Dominant Seller,SquadStack.ai,medium,OA,database,unknown,2026-09-12,1,NEW GRAD
squadstack-minimum-seats-car-pooling,Minimum Seats for One-Way Car Pooling,SquadStack.ai,medium,OA,array|sorting|prefix_sum,unknown,2026-09-12,1,NEW GRAD
squadstack-weighted-decode-ways,Minimum-Cost Digit String Decoding,SquadStack.ai,medium,OA,dynamic_programming|string,unknown,2026-09-12,1,NEW GRAD
google-min-absolute-sum,Minimum Absolute Sum,Google,easy,OA,array|greedy,codesignal,2026-09-11,6,NEW GRAD|INTERN
citadel-minimum-changes-palindromic-blocks,Minimum Changes for Palindromic Blocks,Citadel,easy,OA|PHONE SCREEN|ONSITE INTERVIEW,string|two_pointers,unknown,2026-09-11,4,INTERN|FULLTIME|NEW GRAD
arista-networks-first-missing-number-in-consecutive-array,First Missing Number in a Consecutive Array,Arista Networks,easy,OA,array|binary_search,hackerrank,2026-09-11,1,NEW GRAD
coinbase-task-management-system,Task Management System,Coinbase,hard,OA,design|hash_table|sorting|simulation,unknown,2026-09-11,1,NEW GRAD
goldman-sachs-minimum-distinct-prefix-cost,Minimum Distinct Prefix Cost,Goldman Sachs,medium,OA,array|hash_table|sorting|greedy,hackerrank,2026-09-11,1,FULLTIME|INTERN
kickdrum-students-and-instructors-for-database-systems,Students and Instructors for Database Systems,Kickdrum,easy,OA,database,unknown,2026-09-11,1,INTERN|FULLTIME
kickdrum-undo-redo-timeline-state-engine,Undo/Redo Timeline State Engine,Kickdrum,medium,OA,stack|simulation|design,unknown,2026-09-11,1,INTERN|FULLTIME
kickdrum-wormhole-spacecraft-overtakes,Wormhole Spacecraft Overtakes,Kickdrum,medium,OA,array|hash_table,unknown,2026-09-11,1,INTERN|FULLTIME
toptal-valid-times-on-a-digital-clock,Valid Times on a Digital Clock,Toptal,easy,OA|ONSITE INTERVIEW,array|combinatorics,unknown,2026-09-11,1,CONTRACT
akuna-delivery-management-system,Delivery Management System,Akuna Capital,medium,OA,graph|breadth_first_search|shortest_path|sorting,hackerrank,2026-09-10,4,INTERN
akuna-get-substring,K Smallest Substring,Akuna Capital,medium,OA,string|sliding_window|two_pointers,hackerrank,2026-09-10,3,FULLTIME|INTERN
epic-first-appearance-character-frequencies,Character Frequencies in First-Appearance Order,Epic,easy,OA,string|hash_table,unknown,2026-09-10,2,FULLTIME|NEW GRAD
epic-first-mingo-line,First Completed Mingo Line,Epic,medium,OA,array|matrix|hash_table|simulation,unknown,2026-09-10,2,FULLTIME|NEW GRAD
epic-minimum-adjacent-transpositions,Minimum Adjacent Transpositions,Epic,medium,OA,string|greedy|segment_tree,unknown,2026-09-10,2,FULLTIME|NEW GRAD
epic-keypad-string-encoding,Telephone Keypad String Encoding,Epic,easy,OA,string|simulation,unknown,2026-09-10,2,FULLTIME|NEW GRAD
akuna-longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Akuna Capital,medium,OA,string|sliding_window|hash_table,hackerrank,2026-09-10,1,NEW GRAD
akuna-two-sum,Two Sum,Akuna Capital,easy,OA,array|hash_table,hackerrank,2026-09-10,1,NEW GRAD
ibm-alphabetically-smallest-palindrome,Alphabetically Smallest Palindrome,IBM,medium,OA,string|greedy,unknown,2026-09-10,1,INTERN|NEW GRAD
ibm-count-increasing-contiguous-windows,Count Strictly Increasing Contiguous Windows,IBM,easy,OA,array|sliding_window,unknown,2026-09-10,1,NEW GRAD
infosys-count-reachable-halving-decrement-states,Count Reachable Values by Halving and Decrementing,Infosys,medium,OA,breadth_first_search|hash_table|math,unknown,2026-09-10,1,NEW GRAD
infosys-minimum-cost-group-ones-and-twos,Minimum Paid Swaps to Group Ones and Twos,Infosys,medium,OA,array|greedy,unknown,2026-09-10,1,NEW GRAD
tiktok-catch-fish-with-reusable-baits,Catch Fish with Reusable Baits,TikTok,easy,OA,array|sorting|two_pointers|greedy|simulation,codesignal,2026-09-10,1,INTERN
tiktok-count-one-swap-number-pairs,Count One-Swap Number Pairs,TikTok,medium,OA,array|string|hash_table|combinatorics,codesignal,2026-09-10,1,INTERN
tiktok-lowest-number-in-open-range,Lowest Number in an Open Range,TikTok,easy,OA,array,codesignal,2026-09-10,1,INTERN
tiktok-maximum-rhombic-area-sum,Maximum Rhombic Area Sum,TikTok,medium,OA,matrix|geometry|prefix_sum,codesignal,2026-09-10,1,INTERN
amazon-find-minimum-cost,Minimum Circular Redistribution Cost,Amazon,hard,OA,array|prefix_sum|greedy,hackerrank,2026-09-09,8,NEW GRAD|FULLTIME
google-maximum-elements-with-a-common-digit,Maximum Elements With a Common Digit,Google,easy,OA,hash_table|array,unknown,2026-09-09,7,INTERN|NEW GRAD
google-maximum-coins-with-moving-tokens,Maximum Coins With Moving Tokens,Google,medium,OA,dynamic_programming|greedy,unknown,2026-09-09,4,INTERN|NEW GRAD
google-split-array-into-consecutive-subsequences,Decreasing Subsequences,Google,medium,OA,greedy|heap,codesignal,2026-09-09,3,INTERN
hrt-rightmost-longest-character-run,Rightmost Longest Character Run,Hudson River Trading,easy,OA,string|two_pointers,codesignal,2026-09-09,3,INTERN|NEW GRAD
google-minimize-absolute-difference-of-server-loads,Minimize Absolute Difference of Server Loads,Google,medium,OA,dynamic_programming|array,codesignal,2026-09-09,2,INTERN
millennium-calculate-half-spread,Calculate the Half Spread,Millennium,easy,OA,math|simulation,unknown,2026-09-09,2,NEW GRAD|INTERN
millennium-clean-the-tape,Clean the Tape,Millennium,medium,OA,database|sorting|simulation,unknown,2026-09-09,2,NEW GRAD|INTERN
millennium-debug-fair-value-lookup,Debug Fair-Value Lookup,Millennium,hard,OA,database|sorting,unknown,2026-09-09,2,NEW GRAD|INTERN
millennium-debug-impact-model,Debug the Impact Model,Millennium,hard,OA,simulation|array,unknown,2026-09-09,2,NEW GRAD|INTERN
millennium-debug-risk-limit-quoter,Debug the Risk-Limit Quoter,Millennium,medium,OA,math|simulation,unknown,2026-09-09,2,NEW GRAD|INTERN
millennium-hedge-inventory,Hedge Inventory with Return Covariance,Millennium,hard,OA,database|math|matrix,unknown,2026-09-09,2,NEW GRAD|INTERN
millennium-measure-liquidity,Measure Liquidity,Millennium,hard,OA,database|math,unknown,2026-09-09,2,NEW GRAD|INTERN
millennium-quote-one-request,Quote One Request,Millennium,easy,OA,math|simulation,unknown,2026-09-09,2,NEW GRAD|INTERN
millennium-risk-limits-and-skew,Risk Limits and Inventory Skew,Millennium,medium,OA,math|simulation,unknown,2026-09-09,2,NEW GRAD|INTERN
millennium-track-the-book,Track the Book and Mark Final PnL,Millennium,medium,OA,database|simulation,unknown,2026-09-09,2,NEW GRAD|INTERN
roblox-laser-robot-safe-path,Robot Navigation Around Lasers,Roblox,medium,OA,array|matrix|simulation,unknown,2026-09-09,2,INTERN|NEW GRAD
capital-one-sorted-extended-matrix-diagonals,Sorted Extended Matrix Diagonals,Capital One,medium,OA,matrix|string|sorting|simulation,codesignal,2026-09-09,1,FULLTIME
hrt-dynamic-sum-pair-queries,Dynamic Sum Pair Queries,Hudson River Trading,medium,OA,array|hash_table|simulation,codesignal,2026-09-09,1,INTERN
hrt-product-minus-sum-of-digits,Product Minus Sum of Digits,Hudson River Trading,easy,OA,math|simulation,codesignal,2026-09-09,1,INTERN
hrt-sort-matrix-borders,Sort Matrix Borders,Hudson River Trading,medium,OA,array|matrix|sorting|simulation,codesignal,2026-09-09,1,INTERN
jpmorgan-maximum-game-board-score,Maximum Game Board Score,JP Morgan Chase,medium,OA,array|dynamic_programming,unknown,2026-09-09,1,NEW GRAD|INTERN
jpmorgan-minimum-meeting-rooms,Minimum Meeting Rooms,JP Morgan Chase,medium,OA,array|sorting|heap|intervals,unknown,2026-09-09,1,NEW GRAD|INTERN
millennium-client-markout-analysis,Client Markout Analysis,Millennium,medium,OA,database|simulation,unknown,2026-09-09,1,NEW GRAD
millennium-debug-tape-cleaner,Debug the Tape Cleaner,Millennium,medium,OA,database|sorting|simulation,unknown,2026-09-09,1,NEW GRAD
millennium-regression-hedge,Regression Hedge,Millennium,hard,OA,math|matrix,unknown,2026-09-09,1,NEW GRAD
roblox-track-received-byte-ranges,Track Received Byte Ranges,Roblox,medium,OA,array|sorting|intervals|simulation,codesignal,2026-09-09,1,NEW GRAD
walmart-distinct-bitwise-or-scores,Distinct Bitwise-OR Scores of Increasing Subsequences,Walmart,hard,OA,dynamic_programming|bit_manipulation,hackerrank,2026-09-09,1,NEW GRAD
amazon-get-distinct-pairs,Get Distinct Pairs (Also apply to AS intern),Amazon,easy,OA,hash_table|two_pointers,hackerrank,2026-09-08,10,INTERN|NEW GRAD
amazon-maximum-capacity,Maximum System Memory Capacity,Amazon,easy,OA,sorting|greedy,hackerrank,2026-09-08,6,INTERN|NEW GRAD
amazon-minimum-merge-conflicts,Minimum Merge Conflicts,Amazon,hard,OA,dynamic_programming|string,unknown,2026-09-08,6,INTERN|FULLTIME|NEW GRAD
capital-one-rectangle-fit-queries,Rectangle Fit Queries,Capital One,medium,OA,array|geometry|simulation,codesignal,2026-09-08,4,NEW GRAD|INTERN
optiver-overheat-prevention-controller,Overheat Prevention Controller,Optiver,hard,OA,simulation|design|hash_table,unknown,2026-09-08,4,INTERN|NEW GRAD
tiktok-leftmost-memory-block-allocator,Leftmost Memory Block Allocator (for mle also :),TikTok,medium,OA,array|simulation,codesignal,2026-09-08,4,INTERN|NEW GRAD
tiktok-reverse-letters-in-pairs,Reverse Letters in Pairs,TikTok,easy,OA,string|two_pointers|simulation,codesignal,2026-09-08,4,INTERN|NEW GRAD
capital-one-round-robin-wdl-order,Round-Robin WDL Order,Capital One,easy,OA,string|simulation,codesignal,2026-09-08,3,FULLTIME|INTERN
drw-count-balanced-tree-nodes,Count Balanced Nodes in a Rooted Tree,DRW,medium,OA,tree|depth_first_search,codility,2026-09-08,3,NEW GRAD|INTERN
drw-largest-number-even-digit-frequencies,Largest Number With Even Digit Frequencies,DRW,easy,OA,string|greedy,codility,2026-09-08,3,NEW GRAD|INTERN
ibm-plus-mult-array,Plus Mult Array,IBM,easy,OA,array|simulation|math,hackerrank,2026-09-08,3,INTERN|NEW GRAD
microsoft-maximum-escape-game-score,Maximum Escape Game Score,Microsoft,medium,OA,array|hash_table|dynamic_programming|sorting,unknown,2026-09-08,3,
airbnb-in-memory-file-system,In-Memory File System,Airbnb,hard,OA,hash_table|sorting|design|simulation,unknown,2026-09-08,2,FULLTIME
capital-one-count-good-tuples,Count Good Tuples,Capital One,easy,OA,array|sliding_window,codesignal,2026-09-08,2,INTERN
capital-one-diagonal-robot-path-sum,Diagonal Robot Path Sum,Capital One,medium,OA,array|matrix|simulation|hash_table,codesignal,2026-09-08,2,INTERN
salesforce-maximum-requests-in-window,Maximum Requests in Window,Salesforce,medium,OA,array|sorting|sliding_window,unknown,2026-09-08,2,FULLTIME
tiktok-count-alternating-tile-groups,Count Alternating Tile Groups,TikTok,easy,OA,array|sliding_window|simulation,codesignal,2026-09-08,2,INTERN
hsbc-distinct-products-after-removing-one-element,Distinct Products After Removing One Element,HSBC,easy,OA,array|hash_table|math,codility,2026-09-08,1,NEW GRAD
hsbc-minimum-cleaning-robot-runs,Minimum Cleaning Robot Runs,HSBC,medium,OA,matrix|graph|depth_first_search|breadth_first_search,codility,2026-09-08,1,NEW GRAD
ibm-flight-delay-propagation,Flight Delay Propagation,IBM,medium,OA,graph|breadth_first_search,unknown,2026-09-08,1,NEW GRAD
ibm-tree-pythagorean-triples,Tree Pythagorean Triples,IBM,medium,OA,breadth_first_search|graph|tree,unknown,2026-09-08,1,NEW GRAD
microsoft-count-binary-substrings,Count Binary Substrings,Microsoft,easy,OA,string|two_pointers,unknown,2026-09-08,1,FULLTIME
microsoft-count-same-bit-numbers,Count Numbers with the Same Set-Bit Count,Microsoft,medium,OA,bit_manipulation|combinatorics|math,unknown,2026-09-08,1,FULLTIME
microsoft-equalize-arrays-with-prefix-suffix-increments,Equalize Arrays with Prefix and Suffix Increments,Microsoft,medium,OA,array|greedy|prefix_sum,unknown,2026-09-08,1,FULLTIME
stripe-asynchronous-payment-event-processing,Asynchronous Payment Event Processing,Stripe,medium,OA,hash_table|simulation|parsing,hackerrank,2026-09-08,1,NEW GRAD|INTERN
tiktok-driver-and-ride-metrics,Analyze Taxi Driver and Ride Metrics,TikTok,easy,OA,database|math,codesignal,2026-09-08,1,NEW GRAD
tiktok-build-blocks-from-starting-position,Build Blocks from a Starting Position,TikTok,medium,OA,binary_search|simulation,codesignal,2026-09-08,1,INTERN
tiktok-decision-tree-classifier,Decision Tree Classifier from Scratch,TikTok,hard,OA,tree|recursion|sorting|math,codesignal,2026-09-08,1,NEW GRAD
tiktok-find-local-maxima,Find Local Maxima in Sensor Data,TikTok,medium,OA,array|simulation,codesignal,2026-09-08,1,NEW GRAD
tiktok-gradient-descent-linear-regression,Gradient Descent Linear Regression from Scratch,TikTok,medium,OA,math|matrix|simulation,codesignal,2026-09-08,1,NEW GRAD
num-ways,String Formation (Also for AI/ML Software Engineer Intern :),Snowflake,hard,OA,dynamic_programming|string|hash_table,hackerrank,2026-09-07,6,INTERN|NEW GRAD
snowflake-generating-login-codes,Generating Login Codes,Snowflake,medium,OA,array|two_pointers|greedy,unknown,2026-09-07,3,NEW GRAD
meta-in-memory-database-historical-fields,In-Memory Database with Historical Field Lookup,Meta,hard,OA,design|hash_table|binary_search,unknown,2026-09-07,1,FULLTIME
stripe-evolving-merchant-clusters,Evolving Merchant Clusters and Persistent Pins,Stripe,hard,OA,graph|hash_table|depth_first_search|simulation|sorting|parsing,unknown,2026-09-06,1,NEW GRAD|INTERN
stripe-subscription-and-usage-billing-calculator,Subscription and Usage-Based Billing Calculator,Stripe,medium,OA,hash_table|sorting|prefix_sum|binary_search|simulation,hackerrank,2026-09-06,1,NEW GRAD|INTERN
capital-one-inventory-discount-tracker,Inventory Discount Tracker,Capital One,medium,OA,hash_table|simulation|parsing,codesignal,2026-09-05,3,INTERN|NEW GRAD
capital-one-count-alternating-tile-groups,Count Alternating Tile Groups,Capital One,easy,OA,array|sliding_window|simulation,codesignal,2026-09-05,2,NEW GRAD|INTERN
capital-one-count-digits-0-2-4,"Count Digits 0, 2, and 4",Capital One,easy,OA,string|math|simulation,codesignal,2026-09-05,2,NEW GRAD|INTERN
ibm-sum-remainders-integer-ranges,Sum of Remainders Across Integer Ranges,IBM,medium,OA,math,unknown,2026-09-05,1,FULLTIME
ibm-sum-xor-cartesian-pairs,Sum of XOR Across Cartesian Pairs,IBM,medium,OA,array|bit_manipulation|math,unknown,2026-09-05,1,FULLTIME
snowflake-minimum-clicks-between-wiki-pages,Minimum Clicks Between Wiki Pages,Snowflake,easy,OA|PHONE SCREEN,graph|breadth_first_search,unknown,2026-09-04,3,FULLTIME
microsoft-maximum-decrypted-score,Maximum Decrypted Score,Microsoft,medium,OA,array|sliding_window,unknown,2026-09-04,2,NEW GRAD
microsoft-minimum-team-size-from-every-start,Minimum Team Size From Every Start,Microsoft,medium,OA,array|sliding_window,unknown,2026-09-04,2,NEW GRAD
flextrade-best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,FlexTrade,easy,OA,array|greedy|dynamic_programming,unknown,2026-09-04,1,FULLTIME|NEW GRAD
gep-missing-number,Find the Missing Number from 1 to n,GEP,easy,OA,array|bit_manipulation|math,unknown,2026-09-04,1,INTERN
ibm-maximum-bounded-one-to-one-pairs,Maximum Bounded One-to-One Pairs,IBM,medium,OA,array|sorting|two_pointers|greedy,hackerrank,2026-09-04,1,NEW GRAD
ibm-minimum-halvings-for-alternating-parity,Minimum Halvings for Alternating Parity,IBM,medium,OA,array|greedy|bit_manipulation|math,hackerrank,2026-09-04,1,NEW GRAD
intuit-alien-dictionary,Alien Dictionary,Intuit,hard,OA,graph|topological_sort|string,unknown,2026-09-04,1,INTERN
intuit-find-median-from-data-stream,Find Median from Data Stream,Intuit,hard,OA,design|heap|sorting,unknown,2026-09-04,1,INTERN
intuit-minimum-starting-health-grid,Minimum Starting Health in a Grid,Intuit,hard,OA,matrix|dynamic_programming,unknown,2026-09-04,1,INTERN
tower-research-capital-stable-workload-redistribution-trees,Stable Workload Redistribution Trees,Tower Research Capital,hard,OA,tree|combinatorics|dynamic_programming|math,unknown,2026-09-04,1,NEW GRAD
ibm-string-pair-frequency-similarity,String-Pair Frequency Similarity,IBM,easy,OA,array|string|hash_table,hackerrank,2026-09-03,2,FULLTIME
amazon-find-minimum-city-hops,Find Minimum City Hops,Amazon,medium,OA,graph|breadth_first_search|shortest_path|string|hash_table,unknown,2026-09-03,1,FULLTIME
ethos-life-recoverable-range-sum-elements,Recoverable Elements from Range-Sum Measurements,Ethos Life,hard,OA,array|graph|prefix_sum|union_find,unknown,2026-09-03,1,FULLTIME
tiktok-distribution-center-package-allocation,Distribution Center Package Allocation,TikTok,medium,OA,array|simulation|parsing,codesignal,2026-09-02,3,INTERN
drw-shortest-path-rectangular-obstacles,Shortest Path Around Rectangular Obstacles,DRW,medium,OA,array|matrix|prefix_sum|breadth_first_search|shortest_path,codility,2026-09-02,2,NEW GRAD
tiktok-minimum-height-difference-between-distant-peaks,Minimum Height Difference Between Distant Peaks,TikTok,medium,OA,array|sorting|binary_search,codesignal,2026-09-02,2,INTERN
visa-planning-production,Planning Production,Visa,medium,OA,greedy|sorting,unknown,2026-09-02,2,
